escuela_id,fecha_reporte,necesidad_catedras,necesidad_escritorios,necesidad_mesas_exagonales,necesidad_pizzaras
38,06/10/2016,42,2,84,4
43,07/07/2021,16,38,47,47
30,19/03/2024,25,21,30,4
47,02/07/2024,8,0,7,40
31,17/09/2021,8,42,31,50
49,31/07/2022,20,4,25,38
44,17/01/2019,27,17,33,48
35,02/12/2019,5,2,22,37
39,23/10/2017,2,24,98,29
45,18/04/2015,20,7,30,45
35,09/08/2017,21,15,9,38
39,10/02/2024,83,35,67,46
31,11/12/2019,24,71,26,32
53,09/04/2024,37,18,48,31
34,19/08/2020,10,46,30,15
33,10/06/2017,20,46,7,50
49,25/09/2015,93,7,46,48
47,22/06/2021,28,48,39,30
30,12/10/2019,22,36,48,98
51,17/02/2019,37,40,11,3
50,18/04/2020,39,18,18,2
46,27/03/2020,49,29,99,0
39,18/02/2019,33,11,44,6
38,16/07/2017,11,17,42,29
51,18/08/2024,41,19,11,23
44,25/06/2023,33,14,5,39
40,10/01/2019,89,22,9,40
40,17/04/2020,5,28,28,40
32,31/10/2024,42,29,62,45
48,20/08/2018,1,19,45,5
45,12/05/2015,36,10,21,29
41,28/01/2016,49,47,19,31
40,03/07/2023,10,49,14,9
36,24/11/2022,5,13,48,48
53,18/07/2023,20,16,92,39
49,06/08/2019,14,20,38,92
52,11/04/2024,44,35,39,16
37,04/09/2016,18,15,50,4
47,11/07/2022,10,3,11,45
47,03/01/2020,26,13,23,22
50,03/04/2016,0,42,5,31
50,06/08/2021,4,7,35,19
34,14/07/2020,28,36,13,41
52,19/09/2019,8,74,21,16
47,09/06/2019,8,39,8,29
44,17/08/2017,0,8,9,5
30,25/10/2015,91,12,12,13
40,24/07/2019,18,38,8,48
30,28/12/2021,0,8,8,11
50,15/01/2023,49,46,19,43
36,08/12/2018,2,37,41,12
40,07/11/2022,20,24,45,11
42,22/09/2015,43,10,37,7
45,23/11/2016,19,34,16,17
52,01/05/2023,8,44,4,5
35,02/05/2019,48,0,2,5
34,12/02/2021,49,40,29,19
33,03/02/2015,20,36,26,13
30,15/01/2019,2,33,36,4
51,04/10/2019,30,0,14,81
54,27/09/2024,35,24,2,50
44,11/11/2022,32,21,71,1
52,04/01/2024,14,16,29,33
50,05/12/2016,4,45,32,39
44,10/02/2016,45,51,9,13
30,30/06/2023,7,7,7,31
47,14/09/2019,22,18,95,37
48,04/02/2018,38,48,7,55
45,17/12/2018,11,23,41,40
36,05/08/2024,46,21,22,43
49,20/04/2015,39,46,16,32
52,31/12/2022,49,39,6,21
51,01/06/2022,1,44,4,29
50,26/09/2017,97,97,7,35
40,22/05/2023,43,34,21,20
47,14/03/2018,62,46,8,32
49,14/11/2020,29,0,32,74
52,13/12/2016,43,67,24,5
46,05/04/2020,30,1,16,25
31,12/01/2020,23,27,2,34
32,25/09/2018,41,19,45,21
50,01/08/2020,8,14,17,30
39,26/07/2024,43,26,16,24
50,04/09/2017,58,10,42,28
41,20/11/2020,11,5,0,26
35,27/08/2019,12,9,3,43
54,24/05/2020,6,38,10,7
38,15/01/2022,7,31,29,13
44,06/10/2021,25,29,9,38
54,02/01/2021,31,6,29,41
53,15/03/2021,41,45,2,19
34,28/04/2023,11,38,15,30
51,10/06/2022,27,49,9,47
39,09/10/2020,39,23,47,44
36,06/04/2021,38,17,22,14
36,21/01/2015,48,0,38,80
39,19/09/2018,31,47,41,0
35,03/08/2022,17,30,10,18
37,06/07/2022,27,60,44,0
45,12/06/2018,32,20,43,15
35,18/10/2017,33,31,43,38
38,18/10/2022,24,26,43,48
35,03/02/2017,32,23,12,8
38,26/11/2017,36,30,48,5
30,15/06/2019,81,24,13,42
33,23/05/2024,33,3,29,3
49,24/05/2024,41,33,48,50
47,26/07/2020,26,43,14,27
45,04/04/2024,37,26,28,14
43,05/05/2024,10,43,26,29
36,05/01/2020,18,40,23,39
43,21/02/2015,22,41,93,46
54,02/02/2024,6,24,20,16
41,04/06/2016,12,0,1,48
54,21/09/2020,48,39,50,36
51,03/10/2021,16,46,20,40
52,08/03/2023,48,4,38,3
50,02/10/2018,8,8,24,4
48,27/06/2019,3,15,10,21
40,05/08/2015,37,0,22,41
47,03/08/2016,22,22,27,9
38,09/11/2022,49,42,19,48
31,05/12/2021,15,47,36,31
43,26/04/2022,0,21,7,92
36,14/03/2020,7,38,48,48
47,10/09/2017,1,26,2,25
33,15/04/2018,44,7,43,30
44,21/05/2022,50,39,45,8
31,28/08/2015,3,17,26,17
32,13/09/2019,37,2,19,28
31,21/11/2024,19,22,4,48
48,04/04/2018,41,36,41,17
45,13/12/2022,96,16,50,35
48,26/08/2016,20,24,20,40
46,17/04/2020,24,5,11,62
51,16/11/2019,52,29,12,5
54,08/09/2023,15,14,12,31
42,07/03/2024,25,59,10,6
47,18/07/2018,29,70,8,24
33,06/06/2017,24,42,11,21
53,11/10/2021,41,2,25,15
41,08/06/2018,33,37,27,30
54,18/08/2019,2,45,32,6
35,06/04/2024,16,46,43,25
49,09/04/2024,31,43,56,47
32,17/06/2016,1,41,49,9
32,02/03/2021,6,45,23,36
39,19/02/2022,19,5,35,8
52,04/12/2017,2,2,24,33
48,06/09/2021,7,7,36,50
52,09/07/2020,28,40,38,10
36,23/09/2024,6,0,42,28
43,11/04/2015,10,50,34,3
41,20/12/2020,10,39,48,11
43,26/12/2024,36,9,42,35
48,09/04/2016,40,18,34,47
36,14/06/2021,8,45,0,1
32,14/01/2024,35,40,44,13
53,20/08/2023,15,39,7,5
41,20/01/2023,64,25,9,8
46,14/08/2020,12,20,45,35
53,07/04/2018,52,21,25,3
54,30/04/2024,16,3,75,23
42,17/11/2022,45,21,44,15
53,06/12/2019,15,16,17,37
37,25/09/2018,8,18,9,49
42,22/09/2023,36,26,26,27
30,10/04/2017,46,3,45,8
45,17/09/2018,30,3,31,32
36,18/03/2020,28,43,24,14
32,01/07/2022,76,46,2,23
30,22/04/2023,25,85,5,14
54,05/05/2015,11,48,18,0
44,28/03/2017,30,45,40,46
30,29/07/2015,37,41,5,29
44,28/02/2016,17,6,37,36
40,04/03/2024,30,13,7,49
38,05/05/2015,39,24,43,41
38,19/08/2019,21,34,36,35
32,01/02/2020,46,49,3,38
52,23/09/2017,40,27,36,9
44,23/11/2019,12,25,50,33
31,02/03/2018,37,40,36,8
51,06/12/2016,29,17,34,23
54,06/11/2018,30,42,50,37
30,12/01/2023,38,50,21,24
49,22/04/2020,35,2,30,4
37,29/07/2018,14,46,44,11
51,30/11/2019,33,23,44,49
35,03/04/2022,41,50,9,44
53,09/07/2023,11,41,34,23
35,17/09/2020,12,48,46,48
35,17/02/2017,41,49,29,31
49,01/04/2021,81,6,8,10
45,01/05/2019,36,9,39,19
31,04/11/2016,7,32,37,10
46,24/10/2019,1,9,44,9
53,06/12/2023,17,3,49,21
50,28/01/2022,24,27,35,5
33,25/07/2017,18,5,32,10
30,24/02/2019,27,31,46,33
37,03/07/2016,13,28,4,44
54,14/09/2022,47,2,2,12
39,25/08/2022,6,1,23,32
39,09/12/2023,38,84,19,21
37,06/07/2021,16,37,0,38
39,30/12/2021,22,28,0,43
50,30/10/2018,45,40,75,23
50,21/12/2021,7,15,10,20
32,22/04/2021,10,6,10,34
43,03/03/2015,2,24,20,29
33,08/05/2018,38,0,19,42
30,08/08/2023,14,16,4,35
47,02/07/2019,11,17,31,24
51,22/12/2019,22,8,8,13
35,12/02/2024,37,16,26,24
35,22/03/2016,15,36,35,2
54,28/12/2024,20,6,5,45
42,22/05/2019,18,12,24,7
34,22/02/2016,36,40,50,50
32,09/12/2020,33,9,1,50
43,09/03/2018,60,7,38,35
51,29/05/2022,7,44,15,81
37,03/12/2024,4,42,21,22
40,26/04/2023,47,11,5,29
46,10/08/2017,52,42,42,38
39,16/09/2021,7,18,37,79
42,17/02/2024,25,36,49,49
44,24/07/2020,57,4,1,35
40,25/11/2019,3,0,34,6
54,30/08/2017,11,36,3,30
51,24/02/2022,46,36,36,47
48,13/08/2024,35,11,22,30
33,15/10/2019,11,25,10,3
50,25/10/2022,2,47,41,42
43,28/01/2024,22,4,35,43
51,20/08/2020,15,44,4,27
37,28/10/2023,4,49,28,43
53,11/01/2016,19,58,37,21
46,23/11/2015,42,22,37,14
54,12/02/2017,46,19,7,39
49,23/11/2022,9,26,27,1
51,05/08/2022,37,10,17,15
47,27/08/2015,14,23,50,47
32,07/08/2021,27,5,36,22
44,12/03/2017,22,40,3,42
53,27/03/2023,35,18,13,46
51,21/07/2021,29,35,19,90
37,23/02/2018,25,32,16,0
47,18/07/2022,27,76,30,6
46,11/10/2024,11,37,8,34
33,15/02/2015,48,47,48,5
46,24/08/2018,39,28,28,43
39,13/02/2023,44,11,3,14
54,27/08/2016,43,9,10,7
48,09/05/2021,39,4,3,85
39,27/09/2022,35,29,47,33
41,13/08/2018,26,20,17,44
40,01/12/2020,12,44,40,5
41,14/11/2017,37,39,41,4
35,08/12/2018,39,5,16,25
43,19/06/2017,0,42,3,15
43,15/06/2021,81,16,4,45
39,01/06/2018,49,8,22,20
46,22/04/2015,40,30,21,26
54,07/03/2017,35,46,20,39
41,17/05/2022,21,48,15,20
46,20/08/2022,22,44,1,21
42,12/11/2020,33,43,36,16
50,22/08/2020,32,28,1,32
33,14/03/2019,36,5,30,11
53,22/12/2021,2,36,34,35
47,23/07/2022,36,43,39,34
44,22/07/2021,77,16,43,32
41,15/11/2020,40,23,21,9
38,25/02/2019,29,7,20,48
47,28/11/2016,8,48,39,9
37,23/04/2016,13,43,47,17
47,27/11/2023,46,34,10,21
33,27/03/2019,3,29,23,28
30,15/09/2023,26,6,41,17
37,19/04/2024,14,18,65,10
39,21/04/2017,3,28,39,46
38,04/07/2020,47,28,25,6
39,04/03/2015,0,89,43,3
41,14/08/2016,31,39,34,31
48,11/03/2016,81,32,35,13
41,19/06/2015,36,24,20,49
44,30/07/2019,11,15,34,11
53,08/04/2021,38,2,40,6
32,14/04/2016,50,63,29,8
40,27/03/2018,7,31,43,0
33,29/04/2019,29,32,38,11
46,17/09/2020,0,3,41,11
52,20/07/2018,0,15,30,43
42,23/01/2020,18,41,25,32
49,23/02/2019,15,44,49,6
52,20/03/2024,13,77,27,17
43,01/09/2020,31,24,58,31
51,20/08/2021,21,23,48,34
49,22/08/2016,17,38,35,44
36,23/06/2017,44,19,47,31
45,16/09/2018,21,44,36,0
48,25/10/2020,18,20,33,1
50,04/09/2020,47,99,21,34
32,31/03/2019,49,30,15,42
44,03/09/2017,30,59,97,22
37,17/08/2019,29,40,43,7
45,01/11/2023,50,67,25,19
30,06/12/2020,31,27,38,32
53,07/08/2022,28,28,47,3
54,20/09/2022,31,6,21,46
45,28/05/2020,27,8,43,1
40,15/08/2021,20,5,35,32
30,15/12/2022,1,12,71,25
33,01/03/2018,38,49,48,48
52,09/04/2016,34,30,17,0
50,06/01/2023,9,20,40,14
31,28/07/2016,18,3,28,29
54,09/01/2022,38,43,49,0
30,05/11/2019,25,21,35,36
32,30/07/2016,25,21,7,42
39,20/06/2021,37,26,37,37
31,13/07/2020,40,44,30,19
34,23/02/2019,8,23,46,29
47,02/03/2024,39,9,4,43
42,21/02/2021,27,2,29,35
34,16/07/2017,20,14,13,47
38,05/01/2023,24,40,15,7
36,24/08/2017,74,14,19,40
47,19/07/2020,22,12,11,51
49,05/01/2016,37,23,10,16
34,16/01/2020,4,8,35,35
42,27/01/2024,41,6,13,3
32,13/11/2018,57,36,20,18
48,18/05/2023,31,17,22,29
54,26/09/2017,5,46,16,17
48,19/07/2024,1,45,14,4
43,19/03/2024,11,34,34,20
