escuelaId,anio,semestre,cantidad_alumnos,numero_inscripciones,tasa_desercion,tasa_promocion,numero_maestros,promedio_calificaciones,esUrbana
2,2006,2,145,234,10.08,92.67,5,7.22,false
2,2007,1,420,371,11.89,81.32,36,9.5,false
2,2007,2,286,517,5.48,96.71,6,6.11,false
2,2008,1,590,529,8.25,96.6,35,8.56,false
2,2008,2,328,129,2.98,96.93,36,6.64,false
2,2009,1,166,380,11.79,82.28,31,6.53,false
2,2009,2,381,88,3.53,80.69,36,7.48,false
2,2010,1,563,503,3.5,87.16,25,7.14,false
2,2010,2,113,251,3.43,92.62,12,7.21,false
2,2011,1,569,230,10.5,80.23,32,9.46,false
2,2011,2,261,298,7.91,81.61,26,7.34,false
2,2012,1,479,578,3.83,83.6,30,8.83,false
2,2012,2,350,527,10.35,97.78,29,8.33,false
2,2013,1,393,428,11.76,89.45,19,7,false
2,2013,2,121,531,7.86,94.04,22,8,false
2,2014,1,168,115,5.04,82.47,38,9.13,false
2,2014,2,374,168,4.45,90.25,31,9.47,false
2,2015,1,281,194,4.75,84.78,33,6.49,false
2,2015,2,466,493,2.96,92.84,30,8.33,false
2,2016,1,375,146,8.08,82.04,23,7.17,false
2,2016,2,586,516,11.47,83.5,14,6.99,false
2,2017,1,444,550,6.72,97.74,5,6.94,false
2,2017,2,346,232,3.7,93.85,26,7.62,false
2,2018,1,441,541,4.12,91.86,23,6.03,false
2,2018,2,538,351,9.31,95.79,36,8.85,false
2,2019,1,599,95,2.23,93.75,18,9.38,false
2,2019,2,414,303,3.88,88.77,31,9.28,false
2,2020,1,200,292,3.67,82.73,24,6.63,false
2,2020,2,288,153,8.77,82.57,21,6.48,false
2,2021,1,341,534,3.99,96.14,36,6.74,false
2,2021,2,229,504,9.02,93.18,21,8.24,false
2,2022,1,389,571,6.28,96.58,36,6.56,false
2,2022,2,269,226,11.55,89.01,33,6.09,false
2,2023,1,504,201,8.9,93.05,28,8.74,false
2,2023,2,286,416,6.85,90.93,15,8.57,false
2,2024,1,187,321,11.86,90.61,24,8.37,false
2,2024,2,404,136,9.38,82.45,18,9.5,false
3,2005,1,588,301,6.19,92.6,11,6.56,true
3,2005,2,401,258,10.59,93.17,31,6.86,true
3,2006,1,227,398,9.39,82.39,27,8.66,true
3,2006,2,268,142,4.12,88.79,30,8.07,true
3,2007,1,268,97,2.09,92.59,36,6.43,true
3,2007,2,424,396,7.21,87.16,26,7.96,true
3,2008,1,117,290,10.11,92.73,11,8.06,true
3,2008,2,598,279,2.43,86.04,39,6.91,true
3,2009,1,294,457,9.22,97.6,20,9.49,true
3,2009,2,591,579,10.42,83.93,34,8.89,true
3,2010,1,103,554,5.4,96.61,24,7.56,true
3,2010,2,151,233,9.21,82.27,26,6.01,true
3,2011,1,580,389,6.49,86.22,28,6.55,true
3,2011,2,299,163,7.94,83.41,11,7.29,true
3,2012,1,566,213,8.92,90.08,37,8.19,true
3,2012,2,518,386,9.32,82.61,31,8.96,true
3,2013,1,530,469,5.54,88.43,16,8.64,true
3,2013,2,246,263,9.34,90.64,14,6.37,true
3,2014,1,372,534,8.1,93.09,18,6.11,true
3,2014,2,512,261,5.68,87.98,26,7.02,true
3,2015,1,238,343,9.94,92.26,34,9.19,true
3,2015,2,335,187,2.7,84.45,7,7.38,true
3,2016,1,372,517,4.81,88.01,24,6.1,true
3,2016,2,394,300,11.65,95.25,19,6.28,true
3,2017,1,227,532,2.38,88.6,8,7.28,true
3,2017,2,558,378,11.39,83.14,29,9.47,true
3,2018,1,235,540,2.42,86.04,25,8.39,true
3,2018,2,368,235,2.02,88.38,21,7.06,true
3,2019,1,357,515,4.86,92.63,37,8.87,true
3,2019,2,404,214,7.07,82.31,10,6.52,true
3,2020,1,270,118,11.53,87.53,8,8.78,true
3,2020,2,539,397,2.22,97.47,12,8.2,true
3,2021,1,188,176,4.3,95.16,25,9.37,true
3,2021,2,263,99,6.2,97.29,17,9.29,true
3,2022,1,440,208,6.32,88.92,12,6.75,true
3,2022,2,538,294,5.82,85.29,12,6.03,true
3,2023,1,207,124,4.65,88.5,34,6.77,true
3,2023,2,328,236,6.69,80.44,37,8.12,true
3,2024,1,465,241,10.28,86.68,38,7.4,true
3,2024,2,464,511,2.16,85.8,39,7.76,true
4,2005,1,396,324,2.21,84.4,33,6.53,false
4,2005,2,272,356,3.94,86.69,35,9.07,false
4,2006,1,451,557,5.15,84.39,6,8.63,false
4,2006,2,474,320,10.46,91.57,7,7.2,false
4,2007,1,225,261,8.17,85.58,25,6.5,false
4,2007,2,385,468,4.08,94.21,25,7.86,false
4,2008,1,130,373,10.09,94.53,22,6.75,false
4,2008,2,399,263,4.25,81.51,23,7.73,false
4,2009,1,453,417,10.41,94.68,6,7.26,false
4,2009,2,142,269,2.32,87.08,16,8.79,false
4,2010,1,300,550,6.09,83.65,34,7.38,false
4,2010,2,573,326,2.2,85.15,35,8.62,false
4,2011,1,244,468,11.52,87.91,30,6.24,false
4,2011,2,203,309,2.63,90.03,38,7.27,false
4,2012,1,470,474,3.74,92.09,34,6.04,false
4,2012,2,427,337,7.33,88.25,20,7.32,false
4,2013,1,547,82,3.62,88.17,39,6.08,false
4,2013,2,154,139,10.41,85.71,18,7.75,false
4,2014,1,471,192,3.24,95.7,31,6.1,false
4,2014,2,297,350,2.64,83.89,39,9.05,false
4,2015,1,375,409,3.09,89.2,26,9.23,false
4,2015,2,166,172,5.53,89.13,9,6.97,false
4,2016,1,470,227,3.41,92.84,39,7.35,false
4,2016,2,423,133,2.44,97.96,15,6.83,false
4,2017,1,373,476,10.05,86.93,21,6.7,false
4,2017,2,436,242,7.6,86.72,12,7.08,false
4,2018,1,109,124,4.04,80.83,5,7.16,false
4,2018,2,449,261,9.6,83.04,7,6.24,false
4,2019,1,294,125,3.93,90.72,39,8.94,false
4,2019,2,121,173,10.58,95.42,21,6.66,false
4,2020,1,231,535,5.09,84.75,32,6.64,false
4,2020,2,270,204,6.49,86.26,8,7.68,false
4,2021,1,529,517,11.8,85.5,33,7.25,false
4,2021,2,440,575,11.83,89.55,22,8.87,false
4,2022,1,562,537,5.69,87.25,5,8.08,false
4,2022,2,147,183,8.39,97.22,7,6.43,false
4,2023,1,143,514,11.23,89.87,25,9.21,false
4,2023,2,364,469,7.57,85.48,23,6.69,false
4,2024,1,227,448,6.11,92.8,15,7.55,false
4,2024,2,389,234,9.42,85.68,39,6.62,false
5,2005,1,109,194,6.47,97.31,10,8.64,false
5,2005,2,101,112,11.46,80.54,36,9.07,false
5,2006,1,172,487,2.61,81.81,37,8.25,false
5,2006,2,340,537,7.54,87.58,36,7.16,false
5,2007,1,354,263,9,93.82,7,7.64,false
5,2007,2,279,423,7.95,81.54,24,7.87,false
5,2008,1,225,327,8.89,92.78,13,7.36,false
5,2008,2,408,217,10.3,83.18,24,6.57,false
5,2009,1,185,119,6.54,85.41,34,8.34,false
5,2009,2,350,405,7.47,93.34,30,9.12,false
5,2010,1,419,202,10.32,95.24,17,7.62,false
5,2010,2,190,557,10.51,92.94,36,9.47,false
5,2011,1,331,518,5.88,97.08,24,8.26,false
5,2011,2,354,389,10.66,81.46,35,6.32,false
5,2012,1,484,108,5.55,81.39,14,6.71,false
5,2012,2,575,117,2.21,91.56,7,7.38,false
5,2013,1,315,387,9.52,93.59,20,7.99,false
5,2013,2,372,135,6.81,89.13,8,6.49,false
5,2014,1,552,517,3.07,91.07,21,7.28,false
5,2014,2,332,91,7,92.94,30,8.82,false
5,2015,1,258,446,6.89,85.92,25,7.61,false
5,2015,2,557,104,7.42,91.99,35,6.37,false
5,2016,1,463,137,4.85,89.1,19,8.91,false
5,2016,2,541,462,9.33,80.61,8,6.78,false
5,2017,1,483,566,5.77,91.73,12,7.54,false
5,2017,2,189,403,8.08,90.59,36,9.34,false
5,2018,1,465,283,9.59,94.8,26,6.5,false
5,2018,2,464,478,8.82,95.22,36,6.72,false
5,2019,1,416,513,6.15,82.07,6,6.97,false
5,2019,2,346,560,2.24,97.27,31,7.66,false
5,2020,1,260,168,4.35,92.35,38,7.42,false
5,2020,2,251,382,2.1,93.8,9,6.46,false
5,2021,1,120,466,7.18,85.74,5,7.41,false
5,2021,2,230,142,7.04,86.05,11,8.08,false
5,2022,1,582,556,2.63,85.28,31,7.13,false
5,2022,2,576,438,10.34,96.25,13,6.11,false
5,2023,1,295,191,5.5,91.12,36,8.99,false
5,2023,2,247,228,6.57,90.61,38,7.23,false
5,2024,1,400,315,11.82,81.09,38,8.79,false
5,2024,2,577,108,3.15,88.45,9,6.11,false
6,2005,1,298,569,7.61,89.45,8,8.44,false
6,2005,2,384,246,10.81,86.28,32,8.23,false
6,2006,1,582,549,6.03,81.59,19,7.87,false
6,2006,2,277,519,6.02,85.83,23,6.31,false
6,2007,1,150,202,7.08,96.17,5,7.94,false
6,2007,2,149,186,8.79,81.96,9,7.09,false
6,2008,1,232,195,4,84.32,10,7.31,false
6,2008,2,487,505,3.12,88.6,37,9.14,false
6,2009,1,550,405,11.83,95.4,17,9.4,false
6,2009,2,417,550,8.8,93.04,18,7.83,false
6,2010,1,509,298,3.94,86.24,7,7.77,false
6,2010,2,515,386,6.96,88.93,32,9.09,false
6,2011,1,374,436,10.67,91.31,8,7.09,false
6,2011,2,147,155,3.82,90.19,25,8.84,false
6,2012,1,193,139,5.51,87.79,5,8.81,false
6,2012,2,554,167,7.4,90.59,19,8.01,false
6,2013,1,509,148,8.13,97.56,6,8.92,false
6,2013,2,428,227,2.2,97.4,20,8.52,false
6,2014,1,357,346,7.24,87.39,10,6.63,false
6,2014,2,437,141,7.16,83.54,12,8.91,false
6,2015,1,502,169,11.21,86.91,8,9.16,false
6,2015,2,427,415,6.39,84.57,24,6.42,false
6,2016,1,307,365,8.06,87.99,18,6.36,false
6,2016,2,191,289,6.09,90.72,21,8.13,false
6,2017,1,424,227,4.92,83.53,20,6.1,false
6,2017,2,296,412,7.27,85.15,36,9.34,false
6,2018,1,447,570,3.35,92.89,19,9.25,false
6,2018,2,403,380,9.38,89.22,26,6.21,false
6,2019,1,337,489,11.48,94.58,15,7.66,false
6,2019,2,148,170,10.24,91.36,32,6.57,false
6,2020,1,124,479,3.4,91.81,27,6.52,false
6,2020,2,123,533,4.53,86.49,39,8.43,false
6,2021,1,304,86,3.55,82.68,16,8.79,false
6,2021,2,486,469,7.67,93.22,12,8.69,false
6,2022,1,306,407,6.19,94.78,26,6.37,false
6,2022,2,397,278,3.48,93.61,29,8.26,false
6,2023,1,182,110,6.17,87.61,31,7.69,false
6,2023,2,368,476,6.77,81.87,34,7.23,false
6,2024,1,240,300,2.84,83.8,29,7.05,false
6,2024,2,298,473,4.22,87.81,5,8.29,false
7,2005,1,144,403,11.48,86.67,13,8.96,false
7,2005,2,466,358,6.78,94.91,39,6.7,false
7,2006,1,206,401,11.55,91.33,15,8.4,false
7,2006,2,577,525,11.98,84.06,22,6.92,false
7,2007,1,182,219,8.74,87.55,7,6.58,false
7,2007,2,475,484,7.11,93.27,39,6.76,false
7,2008,1,221,469,10.05,93.87,36,7.22,false
7,2008,2,129,483,3.7,93.26,19,9.38,false
7,2009,1,251,559,3.54,91.55,17,7.02,false
7,2009,2,528,421,5.29,92.56,32,7.43,false
7,2010,1,357,554,8.89,85.89,36,8.68,false
7,2010,2,506,548,11.21,85.13,10,6.85,false
7,2011,1,287,405,9.02,97.87,26,7.9,false
7,2011,2,381,458,10.46,82.77,23,8.92,false
7,2012,1,263,549,5.08,83,25,6.54,false
7,2012,2,211,289,3.51,86.2,31,7.92,false
7,2013,1,108,298,2.93,83.97,19,6.01,false
7,2013,2,295,117,10.19,97.67,38,9.38,false
7,2014,1,279,480,10.24,87.07,36,8.08,false
7,2014,2,200,249,9.79,93.84,15,6.13,false
7,2015,1,280,264,10.15,91.9,20,6.95,false
7,2015,2,223,274,2.68,88.51,13,7.6,false
7,2016,1,509,120,6.18,92.34,29,7.33,false
7,2016,2,321,274,10.58,96.9,7,7.27,false
7,2017,1,131,447,5.24,86.49,5,8.71,false
7,2017,2,197,507,6.88,93.64,29,7.24,false
7,2018,1,591,104,8.95,84.51,21,6.44,false
7,2018,2,473,346,2.47,90.74,22,6.41,false
7,2019,1,240,245,9.18,94.8,14,7.68,false
7,2019,2,335,551,2.1,80.37,24,8.48,false
7,2020,1,519,364,5.63,95.91,14,9.01,false
7,2020,2,259,249,5.82,88.41,27,7.36,false
7,2021,1,511,506,2.39,90.54,17,7.54,false
7,2021,2,248,113,2.52,94.07,5,8.66,false
7,2022,1,587,428,10.06,84.25,9,7.07,false
7,2022,2,209,532,5.86,94.05,18,6.26,false
7,2023,1,232,450,4.94,86.34,29,8.82,false
7,2023,2,270,227,10.06,90.44,14,7.8,false
7,2024,1,169,430,11.29,83.41,15,9.01,false
7,2024,2,366,301,3.49,90.26,9,8.33,false
8,2005,1,381,428,9.14,80.36,31,7.68,true
8,2005,2,514,93,3.72,93.6,12,6.43,true
8,2006,1,120,472,4.83,94.71,36,8.46,true
8,2006,2,221,411,7.2,94.37,13,7.23,true
8,2007,1,514,490,3.5,88.13,16,6.48,true
8,2007,2,189,466,9.34,91.91,12,7.58,true
8,2008,1,379,475,9.06,80.64,12,7.81,true
8,2008,2,563,384,11.77,82.95,10,8.36,true
8,2009,1,540,251,9.6,92.97,33,6.59,true
8,2009,2,252,81,10.59,85.76,18,6.01,true
8,2010,1,425,99,6.8,85.37,30,8.67,true
8,2010,2,439,380,4.14,90.46,15,9.17,true
8,2011,1,306,148,9.83,96.42,25,8.5,true
8,2011,2,393,430,3.91,83.11,12,7.33,true
8,2012,1,262,137,9.68,83.3,15,7.14,true
8,2012,2,502,410,2.72,94.5,36,8.78,true
8,2013,1,461,472,6.04,87.31,8,7.07,true
8,2013,2,221,138,11,88.4,28,8.11,true
8,2014,1,441,274,2.92,89.55,31,7.28,true
8,2014,2,278,226,2.31,83.57,15,7.26,true
8,2015,1,303,266,6.26,81.43,12,7.67,true
8,2015,2,329,138,10.9,97.49,13,9.22,true
8,2016,1,253,165,11.99,85.29,37,9.22,true
8,2016,2,135,559,7.18,93.44,12,8.08,true
8,2017,1,386,104,10.05,94.46,9,7.3,true
8,2017,2,145,462,7.96,86.11,16,9.49,true
8,2018,1,292,568,6.57,97.87,5,7.78,true
8,2018,2,258,417,7.18,97.51,33,7.73,true
8,2019,1,495,288,8.55,89.41,23,6.28,true
8,2019,2,317,269,9.17,81.01,25,6.63,true
8,2020,1,403,187,7.33,85.61,16,7.05,true
8,2020,2,124,198,4.28,85.44,15,8.36,true
8,2021,1,230,189,5.58,88.62,22,6.52,true
8,2021,2,550,521,8.05,90.06,25,7.85,true
8,2022,1,519,343,6.52,84.53,26,8.27,true
8,2022,2,280,564,2.71,92.42,20,7.53,true
8,2023,1,170,264,7.63,80.6,21,7.38,true
8,2023,2,569,123,7.57,81.5,36,6.34,true
8,2024,1,546,383,10.25,95.85,18,8.37,true
8,2024,2,429,203,10.55,92.56,5,6.19,true
9,2005,1,487,93,5.13,86.3,20,8.44,true
9,2005,2,287,99,8.67,96.96,20,6.75,true
9,2006,1,351,80,8.75,92.91,6,8.95,true
9,2006,2,491,397,6.49,85.55,14,7.71,true
9,2007,1,519,360,6.86,92.92,33,8.18,true
9,2007,2,447,246,6.26,81.88,9,8.23,true
9,2008,1,541,292,5.51,81.96,8,7.33,true
9,2008,2,265,316,4.82,97.35,36,9.06,true
9,2009,1,584,142,4.29,94.04,37,9.06,true
9,2009,2,229,570,11.42,90.63,19,6.64,true
9,2010,1,493,460,7.59,97.19,19,6.95,true
9,2010,2,323,257,6.39,95.7,15,8.71,true
9,2011,1,350,430,4.42,96.4,10,9.42,true
9,2011,2,170,255,8.68,90.65,15,7.64,true
9,2012,1,388,223,4.18,86.2,10,8.32,true
9,2012,2,505,426,2.2,93.99,15,7.08,true
9,2013,1,332,473,10.94,93.98,23,7.08,true
9,2013,2,542,278,3.91,88.3,13,7.05,true
9,2014,1,285,245,2.01,86.03,25,8.15,true
9,2014,2,330,227,10.88,80.61,35,8.21,true
9,2015,1,570,253,8.7,90.47,13,6.39,true
9,2015,2,467,104,10.13,86.56,17,8.01,true
9,2016,1,127,137,7.86,86.55,26,8.1,true
9,2016,2,592,297,5.6,84.85,36,9.29,true
9,2017,1,312,291,3.11,89.19,7,7.45,true
9,2017,2,557,353,8.94,87.17,36,6.77,true
9,2018,1,193,437,5.13,84.66,24,6.96,true
9,2018,2,110,528,5.81,89.91,22,6.23,true
9,2019,1,423,490,9.55,80.39,31,8.34,true
9,2019,2,580,531,6.72,86.87,24,6.35,true
9,2020,1,538,234,6.32,90.93,38,8.96,true
9,2020,2,303,259,2.88,84.93,16,8.57,true
9,2021,1,131,556,4.17,92.86,19,9.02,true
9,2021,2,139,494,11.09,81.15,9,6.06,true
9,2022,1,326,187,2.66,92,15,8.78,true
9,2022,2,495,295,10.09,80.72,34,7.16,true
9,2023,1,121,264,5.56,87.73,34,6.83,true
9,2023,2,498,479,8.77,95.89,10,8.26,true
9,2024,1,159,231,9.14,94.2,27,8.3,true
9,2024,2,532,545,6.15,89.59,25,7.18,true
10,2005,1,304,569,7.36,80.62,22,6.45,true
10,2005,2,387,134,5.4,91.01,22,7.4,true
10,2006,1,309,475,8.51,91.88,15,6.47,true
10,2006,2,558,442,5.1,93.01,6,8.4,true
10,2007,1,263,535,6.9,85.58,6,8.76,true
10,2007,2,124,327,8.36,85.58,14,8.46,true
10,2008,1,130,469,8.61,83.54,33,6.11,true
10,2008,2,239,434,11.94,96.09,38,9.18,true
10,2009,1,232,271,11.03,85.96,11,7.34,true
10,2009,2,313,431,8.32,87.97,36,6.58,true
10,2010,1,463,421,9.2,85.61,32,6.54,true
10,2010,2,160,139,8.39,81.52,33,7.93,true
10,2011,1,385,146,2.77,93.96,18,8.99,true
10,2011,2,277,376,10.09,92.61,14,7.38,true
10,2012,1,308,466,11.41,88.22,29,8.92,true
10,2012,2,538,433,2.31,88.09,28,7.25,true
10,2013,1,227,390,3.83,80.43,34,7.34,true
10,2013,2,122,231,11.22,94.56,18,8.96,true
10,2014,1,133,142,11.9,89.87,14,6.68,true
10,2014,2,472,214,8.74,96.73,37,9.14,true
10,2015,1,290,333,10.77,89.52,5,7.83,true
10,2015,2,213,173,5.36,80.42,7,8.27,true
10,2016,1,465,362,2.24,83.19,30,8.98,true
10,2016,2,297,414,8.27,83.8,38,7.14,true
10,2017,1,583,283,7.16,86.23,9,9.37,true
10,2017,2,553,545,10.58,87.97,11,7.3,true
10,2018,1,408,504,11.15,92.92,21,7.6,true
10,2018,2,185,486,2.3,82.03,33,7.37,true
10,2019,1,169,307,10.79,86.7,33,9.36,true
10,2019,2,195,250,10.56,82.54,31,9.31,true
10,2020,1,171,537,5.47,97,33,6.47,true
10,2020,2,478,530,8.22,82.21,26,6.91,true
10,2021,1,146,291,5.58,87.48,7,8.21,true
10,2021,2,563,86,5.1,93.58,15,7.71,true
10,2022,1,237,313,5.14,87.68,6,7.89,true
10,2022,2,386,490,4.83,81.91,32,6.97,true
10,2023,1,230,416,2.02,93.76,34,6.32,true
10,2023,2,262,575,6.66,96.88,18,7.36,true
10,2024,1,363,450,6.85,92.34,7,8.73,true
10,2024,2,401,540,5.66,83.29,38,8.14,true
11,2005,1,329,314,10.26,97.77,23,6.29,true
11,2005,2,381,340,3.88,96.93,16,8.73,true
11,2006,1,301,511,3.67,85.66,37,7.93,true
11,2006,2,130,255,5.79,81.41,22,7.62,true
11,2007,1,525,299,10.25,96.1,38,8.74,true
11,2007,2,161,523,10.48,82.16,5,8,true
11,2008,1,148,286,5.19,85.75,24,8.67,true
11,2008,2,430,443,3.64,89.63,9,6.53,true
11,2009,1,209,425,6.68,91.38,14,7.49,true
11,2009,2,342,522,10.78,82.82,32,9.49,true
11,2010,1,519,530,4.55,96.43,30,7.69,true
11,2010,2,434,178,6.5,93.18,28,7.81,true
11,2011,1,478,269,11.5,81.55,18,7.34,true
11,2011,2,461,420,9.22,83.92,29,7.05,true
11,2012,1,162,150,3.92,84.19,26,6.44,true
11,2012,2,200,365,7.2,82.81,27,8.8,true
11,2013,1,360,538,3.76,82.72,20,7.98,true
11,2013,2,188,405,5.03,94.86,15,9.37,true
11,2014,1,552,110,11.09,90.85,11,6.3,true
11,2014,2,357,190,3.48,94.92,20,7.51,true
11,2015,1,260,553,9.51,82.16,35,9.47,true
11,2015,2,243,558,4.83,82.91,25,8.11,true
11,2016,1,167,187,4.15,80.77,26,7.76,true
11,2016,2,594,363,9.28,96.04,21,7.76,true
11,2017,1,488,225,3.94,92.25,31,6.77,true
11,2017,2,107,383,8.23,94.11,35,7.26,true
11,2018,1,225,417,9.74,88.62,31,6.94,true
11,2018,2,266,162,9.9,97.43,25,7.56,true
11,2019,1,206,145,6.41,95.39,38,7.35,true
11,2019,2,118,317,7.07,80.06,13,9.07,true
11,2020,1,410,575,2.33,94.14,17,6.29,true
11,2020,2,283,385,7.2,92.94,17,8.89,true
11,2021,1,161,144,3.32,95.65,7,9.3,true
11,2021,2,302,316,10.56,90.23,12,8.63,true
11,2022,1,423,455,3.7,87.65,38,8.77,true
11,2022,2,340,438,6.69,93.54,38,8.1,true
11,2023,1,578,364,5.34,82.95,33,7.31,true
11,2023,2,259,433,10.33,88.54,6,8.63,true
11,2024,1,270,359,10.41,92.42,8,8,true
11,2024,2,447,451,3.99,85.29,32,8.31,true
12,2005,1,265,542,8.97,97.64,36,6.91,true
12,2005,2,468,133,10.66,80.5,13,9.13,true
12,2006,1,332,448,10.37,96.91,25,7.05,true
12,2006,2,261,432,5.91,83.45,26,8.83,true
12,2007,1,374,376,2.94,91.95,17,8.04,true
12,2007,2,364,191,8.33,86.71,22,6.7,true
12,2008,1,587,208,5.71,97.07,10,7.7,true
12,2008,2,210,238,5.28,88.34,25,7.12,true
12,2009,1,420,256,2.7,93.44,38,7.09,true
12,2009,2,472,300,6.97,86.96,5,8.53,true
12,2010,1,355,228,11.45,92.37,35,7.31,true
12,2010,2,424,455,5.23,85.49,39,6.44,true
12,2011,1,171,343,6.53,90.99,5,8.26,true
12,2011,2,483,574,9.88,93.9,5,6.02,true
12,2012,1,487,483,3.38,82.15,35,7.46,true
12,2012,2,153,249,6.38,80.65,29,7,true
12,2013,1,228,181,5.38,87.1,20,7.86,true
12,2013,2,232,470,9.43,93.48,35,7.04,true
12,2014,1,161,417,11.94,87.56,16,9.02,true
12,2014,2,391,287,6,94.2,25,7.39,true
12,2015,1,564,432,7.5,84.65,9,8.22,true
12,2015,2,176,424,6.79,93.37,33,8.28,true
12,2016,1,450,475,2.54,91.89,28,9.47,true
12,2016,2,110,278,7.46,86.12,11,6.7,true
12,2017,1,331,458,7.25,90.87,9,9.27,true
12,2017,2,421,228,2.2,91.04,19,6.34,true
12,2018,1,571,286,4.52,87.07,18,8.42,true
12,2018,2,345,255,6.62,92.58,14,7.48,true
12,2019,1,514,245,8.61,81.75,25,6.77,true
12,2019,2,426,298,11.37,85.08,14,8.31,true
12,2020,1,223,410,4.34,92.05,34,9.06,true
12,2020,2,322,436,5.95,92.22,15,7.43,true
12,2021,1,501,573,10.09,83.24,34,7.3,true
12,2021,2,584,202,4.59,96.55,16,7.33,true
12,2022,1,336,162,9.3,80.33,32,9.06,true
12,2022,2,520,97,9.73,96.19,20,7.68,true
12,2023,1,315,179,3.13,93.42,29,9.3,true
12,2023,2,590,274,10.27,96.39,23,8.76,true
12,2024,1,300,396,4.79,97.78,37,8.48,true
12,2024,2,545,245,2.84,83.63,27,9.46,true
13,2005,1,352,476,7.64,96.9,20,9.11,true
13,2005,2,364,532,6.2,85.99,10,7.28,true
13,2006,1,394,155,11.73,83.95,37,6.92,true
13,2006,2,244,182,9.26,84.89,12,9.13,true
13,2007,1,151,428,2.35,94.69,20,8.43,true
13,2007,2,202,443,7.94,88.91,17,7.77,true
13,2008,1,119,198,4.82,83.46,22,7.2,true
13,2008,2,280,528,11.53,95.71,28,9.25,true
13,2009,1,384,293,9.05,81.11,25,9.46,true
13,2009,2,489,447,6.43,93.23,18,9.29,true
13,2010,1,349,248,3.26,91.27,36,7.52,true
13,2010,2,492,184,9.69,96.08,26,8.65,true
13,2011,1,481,343,11.76,81.12,10,7.99,true
13,2011,2,548,483,4.31,87.67,22,8.81,true
13,2012,1,513,258,5.53,84.52,18,8.76,true
13,2012,2,439,403,11.9,89.5,5,6.7,true
13,2013,1,298,573,5.99,87,14,8.82,true
13,2013,2,452,248,10.65,96.96,38,9.34,true
13,2014,1,291,440,2.43,94.88,5,7.75,true
13,2014,2,367,254,11.08,84.58,11,6.69,true
13,2015,1,548,307,6.66,85.72,34,8.91,true
13,2015,2,312,281,2.94,80.99,23,6.09,true
13,2016,1,145,237,8.67,87.78,14,7.93,true
13,2016,2,214,422,9.16,85.45,16,6.24,true
13,2017,1,284,421,10.75,81.18,23,7.96,true
13,2017,2,403,205,11.08,90.39,32,9.19,true
13,2018,1,501,412,3.29,89.03,32,6.33,true
13,2018,2,570,91,7.98,83.82,21,6.26,true
13,2019,1,203,486,10.46,93.3,28,7.05,true
13,2019,2,245,285,4.96,90.57,30,7.82,true
13,2020,1,526,477,7.99,91.63,23,8.44,true
13,2020,2,311,382,10.27,92.59,37,6.42,true
13,2021,1,410,159,7.39,97.59,12,7.42,true
13,2021,2,288,312,7.23,84.91,32,9.44,true
